OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,datasetID,FAMILY,GENUS,scientific,VERIF,REP_AREA_K,eventDate,Shape_Length,Shape_Area
32,0,32,124,Nordeste,NA,Costa do Sauipe,-12.022171000000000,-37.645508000000000,NA,NA,NA,NA,NA,10000.000000000000000,32,,,,,,,,62831.853071795863798,314159265.358979284763336
33,0,33,125,Nordeste,NA,Marlin,-11.939802999999999,-37.602476000000003,NA,NA,NA,NA,NA,10000.000000000000000,33,,,,,,,,62831.853071795863798,314159265.358979284763336
34,0,34,126,Nordeste,NA,Conde,-11.848141000000000,-37.558169999999997,NA,NA,NA,NA,NA,10000.000000000000000,34,,,,,,,,62831.853071795863798,314159265.358979284763336
35,3,35,127,Nordeste,NA,Mangue Seco,-11.483613999999999,-37.364454000000002,NA,NA,NA,NA,NA,10000.000000000000000,35,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
36,2,36,128,Nordeste,NA,Mosqueiro,-11.138116000000000,-37.145493000000002,NA,NA,NA,NA,NA,10000.000000000000000,36,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
37,0,37,129,Nordeste,NA,Aruana,-11.067069000000000,-37.101289000000001,NA,NA,NA,NA,NA,10000.000000000000000,37,,,,,,,,62831.853071795863798,314159265.358979284763336
38,0,38,130,Nordeste,NA,Hawaiizinho,-11.043927999999999,-37.082977999999997,NA,NA,NA,NA,NA,10000.000000000000000,38,,,,,,,,62831.853071795863798,314159265.358979284763336
39,0,39,131,Nordeste,NA,Praia do Meio,-10.999541000000001,-37.050151000000000,NA,NA,NA,NA,NA,10000.000000000000000,39,,,,,,,,62831.853071795863798,314159265.358979284763336
40,0,40,132,Nordeste,NA,Pirambu,-10.746346000000001,-36.855099000000003,NA,NA,NA,NA,NA,10000.000000000000000,40,,,,,,,,62831.853071795863798,314159265.358979284763336
41,0,41,133,Nordeste,NA,Ponta do Mangue,-10.639483000000000,-36.678539000000001,NA,NA,NA,NA,NA,10000.000000000000000,41,,,,,,,,62831.853071795863798,314159265.358979284763336
42,0,42,134,Nordeste,NA,Pontal de Peba,-10.367584000000001,-36.303941000000002,NA,NA,NA,NA,NA,10000.000000000000000,42,,,,,,,,62831.853071795863798,314159265.358979284763336
43,0,43,135,Nordeste,NA,Mihai,-10.196728000000000,-36.181641999999997,NA,NA,NA,NA,NA,10000.000000000000000,43,,,,,,,,62831.853071795863798,314159265.358979284763336
44,0,44,136,Nordeste,NA,Pontal do Coruripe,-10.160774999999999,-36.150663999999999,NA,NA,NA,NA,NA,10000.000000000000000,44,,,,,,,,62831.853071795863798,314159265.358979284763336
45,0,45,137,Nordeste,NA,Forjos,-10.107661999999999,-36.097672000000003,NA,NA,NA,NA,NA,10000.000000000000000,45,,,,,,,,62831.853071795863798,314159265.358979284763336
46,0,46,138,Nordeste,NA,Poxim,-10.063563000000000,-36.040908999999999,NA,NA,NA,NA,NA,10000.000000000000000,46,,,,,,,,62831.853071795863798,314159265.358979284763336
47,0,47,139,Nordeste,NA,Jacarecica,-9.916383000000000,-35.945963999999996,NA,NA,NA,NA,NA,10000.000000000000000,47,,,,,,,,62831.853071795863798,314159265.358979284763336
48,0,48,140,Nordeste,NA,Praia do Meio,-9.824446999999999,-35.877803000000000,NA,NA,NA,NA,NA,10000.000000000000000,48,,,,,,,,62831.853071795863798,314159265.358979284763336
49,3,49,141,Nordeste,NA,Praia do Pontal,-9.682589999999999,-35.758536999999997,NA,NA,NA,NA,NA,10000.000000000000000,49,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
50,3,50,142,Nordeste,NA,Salgema,-9.679629000000000,-35.718974000000003,NA,NA,NA,NA,NA,10000.000000000000000,50,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
51,3,51,143,Nordeste,NA,Pier do Emissario,-9.673301000000000,-35.715234000000002,NA,NA,NA,NA,NA,10000.000000000000000,51,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
52,3,52,144,Nordeste,NA,Praia do Sobral,-9.666869000000000,-35.710735000000000,NA,NA,NA,NA,NA,10000.000000000000000,52,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
53,3,53,145,Nordeste,NA,"Pico da Barra, Brazil",-9.665630000000000,-35.697186000000002,NA,NA,NA,NA,NA,10000.000000000000000,53,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
54,0,54,146,Nordeste,NA,Pedra Virada,-9.585521999999999,-35.660038000000000,NA,NA,NA,NA,NA,10000.000000000000000,54,,,,,,,,62831.853071795863798,314159265.358979284763336
55,0,55,147,Nordeste,NA,Praia de Jatiuca,-9.531449000000000,-35.590927999999998,NA,NA,NA,NA,NA,10000.000000000000000,55,,,,,,,,62831.853071795863798,314159265.358979284763336
56,0,56,148,Nordeste,NA,Garca Torta,-9.487114000000000,-35.557476999999999,NA,NA,NA,NA,NA,10000.000000000000000,56,,,,,,,,62831.853071795863798,314159265.358979284763336
57,0,57,149,Nordeste,NA,Mirante da Sirena,-9.430906000000000,-35.503683000000002,NA,NA,NA,NA,NA,10000.000000000000000,57,,,,,,,,62831.853071795863798,314159265.358979284763336
58,0,58,150,Nordeste,NA,Japaratinga,-9.261582000000001,-35.353366000000001,NA,NA,NA,NA,NA,10000.000000000000000,58,,,,,,,,62831.853071795863798,314159265.358979284763336
59,2,59,151,Nordeste,NA,Impossivel,-8.615505000000001,-35.020375000000001,NA,NA,NA,NA,NA,10000.000000000000000,59,137.000000000000000,Cymodoceaceae,Halodule,Halodule spp.,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
60,0,60,152,Nordeste,NA,Serrambi,-8.576358000000001,-35.028714999999998,NA,NA,NA,NA,NA,10000.000000000000000,60,,,,,,,,62831.853071795863798,314159265.358979284763336
61,2,61,153,Nordeste,NA,Porto de Galinhas,-8.488678000000000,-34.999501000000002,NA,NA,NA,NA,NA,10000.000000000000000,61,137.000000000000000,Cymodoceaceae,Halodule,Halodule spp.,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
62,2,62,154,Nordeste,NA,Cupe,-8.479708000000000,-34.996577000000002,NA,NA,NA,NA,NA,10000.000000000000000,62,137.000000000000000,Cymodoceaceae,Halodule,Halodule spp.,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
63,0,63,155,Nordeste,NA,Gaibu,-8.341567000000000,-34.948825999999997,NA,NA,NA,NA,NA,10000.000000000000000,63,,,,,,,,62831.853071795863798,314159265.358979284763336
64,5,64,156,Nordeste,NA,Bessa,-7.091138000000000,-34.832765000000002,NA,NA,NA,NA,NA,10000.000000000000000,64,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
65,0,65,157,Nordeste,NA,Saji,-6.466880000000000,-34.970449000000002,NA,NA,NA,NA,NA,10000.000000000000000,65,,,,,,,,62831.853071795863798,314159265.358979284763336
66,0,66,158,Nordeste,NA,Farol,-6.408908000000000,-34.979016999999999,NA,NA,NA,NA,NA,10000.000000000000000,66,,,,,,,,62831.853071795863798,314159265.358979284763336
67,0,67,159,Nordeste,NA,Xilauzinho,-6.395101000000000,-34.983204999999998,NA,NA,NA,NA,NA,10000.000000000000000,67,,,,,,,,62831.853071795863798,314159265.358979284763336
68,0,68,160,Nordeste,NA,Mar Aberto,-6.379758000000000,-34.989437000000002,NA,NA,NA,NA,NA,10000.000000000000000,68,,,,,,,,62831.853071795863798,314159265.358979284763336
69,0,69,161,Nordeste,NA,Pontal,-6.368680000000000,-34.993423999999997,NA,NA,NA,NA,NA,10000.000000000000000,69,,,,,,,,62831.853071795863798,314159265.358979284763336
70,0,70,162,Nordeste,NA,Mar da Frente,-6.365217000000000,-35.006211999999998,NA,NA,NA,NA,NA,10000.000000000000000,70,,,,,,,,62831.853071795863798,314159265.358979284763336
71,0,71,163,Nordeste,NA,Lajinha,-6.278960000000000,-35.033028000000002,NA,NA,NA,NA,NA,10000.000000000000000,71,,,,,,,,62831.853071795863798,314159265.358979284763336
72,0,72,164,Nordeste,NA,Afogados,-6.244350000000000,-35.036464000000002,NA,NA,NA,NA,NA,10000.000000000000000,72,,,,,,,,62831.853071795863798,314159265.358979284763336
73,0,73,165,Nordeste,NA,Sororoca,-6.238074000000000,-35.035608000000003,NA,NA,NA,NA,NA,10000.000000000000000,73,,,,,,,,62831.853071795863798,314159265.358979284763336
74,0,74,166,Nordeste,NA,Abacateiro,-6.233891000000000,-35.036746999999998,NA,NA,NA,NA,NA,10000.000000000000000,74,,,,,,,,62831.853071795863798,314159265.358979284763336
75,0,75,167,Nordeste,NA,Tibau do Sul,-6.180279000000000,-35.089708999999999,NA,NA,NA,NA,NA,10000.000000000000000,75,,,,,,,,62831.853071795863798,314159265.358979284763336
76,0,76,168,Nordeste,NA,Tabatinga,-6.049479000000000,-35.108238000000000,NA,NA,NA,NA,NA,10000.000000000000000,76,,,,,,,,62831.853071795863798,314159265.358979284763336
77,0,77,169,Nordeste,NA,Xoxoline,-6.005800000000000,-35.105258999999997,NA,NA,NA,NA,NA,10000.000000000000000,77,,,,,,,,62831.853071795863798,314159265.358979284763336
78,0,78,170,Nordeste,NA,Pirangi Reef,-5.980259000000000,-35.107796000000000,NA,NA,NA,NA,NA,10000.000000000000000,78,,,,,,,,62831.853071795863798,314159265.358979284763336
79,0,79,171,Nordeste,NA,Cotovelo,-5.949906000000000,-35.151975000000000,NA,NA,NA,NA,NA,10000.000000000000000,79,,,,,,,,62831.853071795863798,314159265.358979284763336
80,0,80,172,Nordeste,NA,Miami,-5.794834000000000,-35.181663999999998,NA,NA,NA,NA,NA,10000.000000000000000,80,,,,,,,,62831.853071795863798,314159265.358979284763336
81,0,81,173,Nordeste,NA,Areia Preta,-5.792249000000000,-35.184387000000001,NA,NA,NA,NA,NA,10000.000000000000000,81,,,,,,,,62831.853071795863798,314159265.358979284763336
82,0,82,174,Nordeste,NA,Praia dos Artistas,-5.781239000000000,-35.192050000000002,NA,NA,NA,NA,NA,10000.000000000000000,82,,,,,,,,62831.853071795863798,314159265.358979284763336
83,0,83,175,Nordeste,NA,Genipabu,-5.694407000000000,-35.201922000000003,NA,NA,NA,NA,NA,10000.000000000000000,83,,,,,,,,62831.853071795863798,314159265.358979284763336
84,0,84,176,Nordeste,NA,Touros Area,-5.197434000000000,-35.457929999999998,NA,NA,NA,NA,NA,10000.000000000000000,84,,,,,,,,62831.853071795863798,314159265.358979284763336
85,0,85,177,Nordeste,NA,Urca da Concei&ccedil;&atilde;o,-5.069617000000000,-35.800230999999997,NA,NA,NA,NA,NA,10000.000000000000000,85,,,,,,,,62831.853071795863798,314159265.358979284763336
86,0,86,178,Nordeste,NA,Cocoa das Lavadeiras,-5.066515000000000,-35.862005000000003,NA,NA,NA,NA,NA,10000.000000000000000,86,,,,,,,,62831.853071795863798,314159265.358979284763336
87,2,87,179,Nordeste,NA,Baia das Ratas,-3.813000000000000,-32.393000000000001,NA,NA,NA,NA,NA,10000.000000000000000,87,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
88,1,88,180,Nordeste,NA,Volta da Jurema,-3.724294000000000,-38.496071999999998,NA,NA,NA,NA,NA,10000.000000000000000,88,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
89,1,89,181,Nordeste,NA,Portao,-3.719326000000000,-38.510655000000000,NA,NA,NA,NA,NA,10000.000000000000000,89,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
90,0,90,182,Nordeste,NA,Barra do Ceara,-3.692659000000000,-38.584716000000000,NA,NA,NA,NA,NA,10000.000000000000000,90,,,,,,,,62831.853071795863798,314159265.358979284763336
91,0,91,183,Nordeste,NA,Praia do Pecem,-3.546170000000000,-38.806919000000001,NA,NA,NA,NA,NA,10000.000000000000000,91,,,,,,,,62831.853071795863798,314159265.358979284763336
92,0,92,184,Nordeste,NA,Tabinha,-3.500935000000000,-38.911282000000000,NA,NA,NA,NA,NA,10000.000000000000000,92,,,,,,,,62831.853071795863798,314159265.358979284763336
93,1,93,185,Nordeste,NA,Pedra do Meio,-3.410858000000000,-39.040807000000001,NA,NA,NA,NA,NA,10000.000000000000000,93,443.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
94,1,94,186,Nordeste,NA,Havaizinho,-3.403507000000000,-39.022171000000000,NA,NA,NA,NA,NA,10000.000000000000000,94,443.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
95,1,95,187,Nordeste,NA,Curral,-3.403353000000000,-39.025868000000003,NA,NA,NA,NA,NA,10000.000000000000000,95,443.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
96,1,96,188,Nordeste,NA,Outside,-3.398539000000000,-39.013306000000000,NA,NA,NA,NA,NA,10000.000000000000000,96,443.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
97,0,97,189,Nordeste,NA,Atins,-2.555789000000000,-42.727836000000003,NA,NA,NA,NA,NA,10000.000000000000000,97,,,,,,,,62831.853071795863798,314159265.358979284763336
98,0,98,190,Nordeste,NA,Ponta d'Areia,-2.497384000000000,-44.311779000000001,NA,NA,NA,NA,NA,10000.000000000000000,98,,,,,,,,62831.853071795863798,314159265.358979284763336
99,0,99,191,Nordeste,NA,S&atilde;o Marcos,-2.485445000000000,-44.297899999999998,NA,NA,NA,NA,NA,10000.000000000000000,99,,,,,,,,62831.853071795863798,314159265.358979284763336
100,0,100,192,Nordeste,NA,Calhau,-2.480673000000000,-44.249679999999998,NA,NA,NA,NA,NA,10000.000000000000000,100,,,,,,,,62831.853071795863798,314159265.358979284763336
101,0,101,193,Nordeste,NA,Olho D'Agu,-2.477097000000000,-44.230155000000003,NA,NA,NA,NA,NA,10000.000000000000000,101,,,,,,,,62831.853071795863798,314159265.358979284763336
102,0,102,194,Nordeste,NA,Ponta do Farol,-2.456442000000000,-44.173347999999997,NA,NA,NA,NA,NA,10000.000000000000000,102,,,,,,,,62831.853071795863798,314159265.358979284763336
103,0,103,445,Nordeste,Bahia Sul,Backdoor,-14.840603000000000,-39.001465000000003,3.5,2,Right,Point-break,Experienced surfers,10000.000000000000000,103,,,,,,,,62831.853071795863798,314159265.358979284763336
104,0,104,446,Nordeste,Bahia Sul,Itacarezinho,-14.370585000000000,-39.006014000000000,3,4,Right and left,Beach-break,All surfers,10000.000000000000000,104,,,,,,,,62831.853071795863798,314159265.358979284763336
105,0,105,447,Nordeste,Bahia Sul,Engenhoca,-14.352541000000000,-39.000950000000003,NA,4,Right and left,Beach-break,All surfers,10000.000000000000000,105,,,,,,,,62831.853071795863798,314159265.358979284763336
106,0,106,448,Nordeste,Bahia Sul,Jeribucaçu,-14.344391999999999,-39.001379000000000,3,4,Right and left,Beach-break,All surfers,10000.000000000000000,106,,,,,,,,62831.853071795863798,314159265.358979284763336
107,0,107,449,Nordeste,Bahia Sul,Prainha,-14.297738000000001,-38.981037000000001,3.5,3,Right and left,Beach-break,All surfers,10000.000000000000000,107,,,,,,,,62831.853071795863798,314159265.358979284763336
108,0,108,450,Nordeste,Bahia Sul,Tiririca,-14.286009999999999,-38.982925000000002,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,108,,,,,,,,62831.853071795863798,314159265.358979284763336
109,0,109,451,Nordeste,Bahia Sul,Praia da Resende,-14.283889000000000,-38.985069000000003,3,4,Right and left,Beach-break,All surfers,10000.000000000000000,109,,,,,,,,62831.853071795863798,314159265.358979284763336
110,0,110,452,Nordeste,Bahia Sul,Boca da Barra,-14.265879999999999,-38.986702000000001,3.5,4,Right,Rivermouth,Experienced surfers,10000.000000000000000,110,,,,,,,,62831.853071795863798,314159265.358979284763336
111,0,111,453,Nordeste,Bahia Sul,Pontal,-14.263551000000000,-38.993568000000003,3,4,Right and left,Beach-break,All surfers,10000.000000000000000,111,,,,,,,,62831.853071795863798,314159265.358979284763336
112,0,112,454,Nordeste,Bahia Sul,Praia dos Algodoes,-14.077500000000001,-38.954444000000002,3,3,Right and left,Reef-coral,All surfers,10000.000000000000000,112,,,,,,,,62831.853071795863798,314159265.358979284763336
113,0,113,455,Nordeste,Bahia Sul,Saquaira,-14.041088999999999,-38.948078000000002,3.5,4,Right and left,Beach-break,Experienced surfers,10000.000000000000000,113,,,,,,,,62831.853071795863798,314159265.358979284763336
114,0,114,456,Nordeste,Bahia Sul,Taipu de Fora,-13.942398000000001,-38.926620000000000,3,4,Right and left,Beach-break,All surfers,10000.000000000000000,114,,,,,,,,62831.853071795863798,314159265.358979284763336
115,0,115,457,Nordeste,Bahia Sul,Pedra do Moleque,-13.377011000000000,-38.912630000000000,3.5,3,Right,Reef-coral,Experienced surfers,10000.000000000000000,115,,,,,,,,62831.853071795863798,314159265.358979284763336
116,0,116,458,Nordeste,Bahia Norte,Farol da Barra,-13.009994000000001,-38.533602000000002,3.5,2,Left,breakwater/jetty,Experienced surfers,10000.000000000000000,116,,,,,,,,62831.853071795863798,314159265.358979284763336
117,0,117,459,Nordeste,Bahia Norte,Barravento,-13.009764000000001,-38.526971000000003,3.5,3,Right and left,Beach-break,All surfers,10000.000000000000000,117,,,,,,,,62831.853071795863798,314159265.358979284763336
118,0,118,460,Nordeste,Bahia Norte,Espanhol,-13.006230000000000,-38.533397999999998,3.5,2,Right and left,Point-break,Experienced surfers,10000.000000000000000,118,,,,,,,,62831.853071795863798,314159265.358979284763336
119,0,119,461,Nordeste,Bahia Norte,Corsário,-12.976457000000000,-38.423394999999999,3,4,Right and left,Beach-break,All surfers,10000.000000000000000,119,,,,,,,,62831.853071795863798,314159265.358979284763336
120,0,120,462,Nordeste,Bahia Norte,Jaguaribe,-12.955755000000000,-38.385007000000002,3.5,3,Right and left,Beach-break,All surfers,10000.000000000000000,120,,,,,,,,62831.853071795863798,314159265.358979284763336
121,0,121,463,Nordeste,Bahia Norte,Stella Maris,-12.936097999999999,-38.323714000000002,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,121,,,,,,,,62831.853071795863798,314159265.358979284763336
122,0,122,464,Nordeste,Bahia Norte,Praia do forte,-12.734415000000000,-38.144444999999997,3.5,4,Right and left,Reef-coral,Experienced surfers,10000.000000000000000,122,,,,,,,,62831.853071795863798,314159265.358979284763336
123,0,123,465,Nordeste,Bahia Norte,Scar Reef,-12.674941000000000,-38.085174000000002,3.5,2,Right and left,Reef-coral,Experienced surfers,10000.000000000000000,123,,,,,,,,62831.853071795863798,314159265.358979284763336
124,0,124,466,Nordeste,Bahia Norte,Casinha,-12.556333000000000,-37.988351999999999,3.5,3,Right,Reef-coral,Experienced surfers,10000.000000000000000,124,,,,,,,,62831.853071795863798,314159265.358979284763336
125,0,125,467,Nordeste,Sergipe Alagoas,Aracaju,-10.987674000000000,-37.041145999999998,3,3,Right and left,NA,All surfers,10000.000000000000000,125,,,,,,,,62831.853071795863798,314159265.358979284763336
126,0,126,468,Nordeste,Sergipe Alagoas,Praia Do Francês,-9.772375000000000,-35.845170000000003,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,126,,,,,,,,62831.853071795863798,314159265.358979284763336
127,3,127,469,Nordeste,Sergipe Alagoas,Pedra Virada,-9.678906000000000,-35.702514000000001,3.5,2,Left,Reef-rocky,Experienced surfers,10000.000000000000000,127,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
128,3,128,470,Nordeste,Sergipe Alagoas,Cruz das Almas,-9.631199000000001,-35.696071000000003,3.5,4,Right and left,Sand-bar,All surfers,10000.000000000000000,128,137.000000000000000,Cymodoceaceae,Halodule,Halodule wrightii,Not reported,0.000000000000000,Not reported,62831.853071795863798,314159265.358979284763336
129,0,129,471,Nordeste,Sergipe Alagoas,Riacho Doce,-9.568049999999999,-35.646794000000000,3,3,Right and left,Rivermouth,All surfers,10000.000000000000000,129,,,,,,,,62831.853071795863798,314159265.358979284763336
130,0,130,472,Nordeste,Sergipe Alagoas,New Orleans,-9.526289999999999,-35.583022000000000,3,NA,Right and left,Beach-break,All surfers,10000.000000000000000,130,,,,,,,,62831.853071795863798,314159265.358979284763336
131,0,131,473,Nordeste,Sergipe Alagoas,Praia do Morro,-9.327169000000000,-35.438530999999998,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,131,,,,,,,,62831.853071795863798,314159265.358979284763336
132,0,132,474,Nordeste,Paraiba and Pernambucco,Maracaipe,-8.525427000000001,-35.006261000000002,4,4,Right and left,Beach-break,Experienced surfers,10000.000000000000000,132,,,,,,,,62831.853071795863798,314159265.358979284763336
